EventID;GameID;WhitePlayerID;BlackPlayerID;WhiteScore;DayID;M60
10103447;63905487;213929;275294;1;3259;120
10103447;63905515;165389;213929;0.5;3261;120
10103447;63905554;213929;142290;0.5;3263;120
10113973;57140921;426349;47414;0.5;3404;120
10113973;57140922;394201;426349;0;3407;120
10113973;57140904;237614;81308;0.5;3406;120
10113980;57141255;81309;90313;0.5;3408;120
10113980;57141253;23442;119195;0;3405;120
10113980;57141261;23542;81319;1;3406;120
